کجات|سفلہ-کمینہ۔
کچا|جو پکا نہ ہو-خام-ناقص-ناتجربہکار۔
کچلنا|دابڈالنا-مسلنا-روندنا۔
کحل|سرمہ۔
کدوکش|جدوجہد-کوشش۔
کدھر|کس طرف۔
کڈھب|بےطور-بےڈھنگ۔
کڈھنگ|بداخلاق-دشمن۔
کذاب|جھوٹا۔
کذب|جھوٹ۔
کرامت|بزرگی-خصلت-بڑھن۔
کردار|کام-فعل-ہنر۔
کڑوا|تلخ-بدمزہ-سخت-ناراض۔
کڑھن|رنج-کوفت۔
کثر|ٹیڑھا-کج۔
کثردم|بچھو-عقرب۔
کسان|کاشتکار۔
کساد|بےرونقی-بےرواجی۔
کشادہ|پھیلا ہوا-چوڑا۔
کشور|بیٹا-جوان۔
کعبہ|مربع-عمارت-مسجد جو مکہ میں ہے۔
کفالت|ذمہداری۔
کفارہ|بدلہ-گناہ کا بدلہ۔
ککڑ|مرغ۔
کگڑ|کنارہ-حاشیہ-حد۔
کل|سب-تمام-پورا۔
کلیم|کلام کرنے والا۔
کم|تھوڑا-چھوٹا۔
کمزور|ناطاقت-ناتواں۔
کنر|سست-کاہل۔
کنجی|چابی۔
کوچہ|گلی-آگ۔
کورٹ|عدالت۔
کونا|گوشہ-راہ-طرف۔
کہا|قول-بات-نصیحت۔
کہانی|قصہ-داستان۔
کیپ|ٹوپی۔
کینہ|حسد-بغض۔
گاڑھ|دشواری-مشقل۔
گال|رخسار۔
گائید|راہ دیکھانے والا۔
گھبرو|خاوند-شوہر۔
گپ|بکواس-لغویات۔
گپت|چھپا-پوشیدہ۔
گت|حالت-طرح-حرکت۔
گٹ|غل۔
گٹھا|جوڑنا-بندھنا۔
گجرا|کلائ کا زیور-پھولوں کا ہار۔
گجگجانا|آواز کرنا۔
گچھا|بنڈل۔
گچ|اوکھلی-پکافرش-پلاسٹر۔
گدا|بھکاری-فقیر۔
گدھاپن|بےوقوفی۔
گڈریا|گوالا-چرواہا۔
گڈی|بنڈل-گٹھڑی۔
گذارش|عرض-بیان۔
گذشتہ|گذرا ہوا۔
گردن|گلا۔
گروہ|جھنڈ-غول۔
گرفت|پکڑ-قبضہ۔
گرد|خاک-دھول۔
گڑھ|قلعہ۔
گزاف|بکواس-شیخی۔
گزند|نقصان-صدمہ۔
گستاخی|بےادبی۔
گستر|بچھانے والا-پھیلانے والا۔
گستہ|ٹوٹا ہوا۔
گشت|پھرنا-سیر کرنا۔
گفتگو|بولچال۔
گگن|آسمان۔نہایت اونچا۔
گل|پھول۔
گلی|تنگ کوچہ۔
گم|دور-غائب-عیرحاضر۔
گمان|شبہ-ظن-غرور۔
گمنام|نامعلوم-پوشیدہ۔
گن|جوہر-ہنر-فن۔
گنت|ریاضی-حساب۔
گندم|گیہوں۔
گنوار|دہقان-ناشائستہ۔
گنہگار|پاپی-قصوروار-مجرم۔
گواہی|شہادت۔
گود|آغوش۔
گودام|ذخیرہ۔
گھاٹ|دریا کا کنارہ-نہانے کی جگہ۔	
گھائل|زخمی۔
گھورنا|تاکنا۔
گیت|بھجن۔
گیند|بال۔
گیان|علمواقفیت۔
لاتعداد|بےشمار-انگنت۔
لاٹری|قرعہاندازی۔
لباس|پوشاک-کپڑے۔
لبرل|آزاد۔
لپڑی|پگڑی-دستار۔
لپٹ|لو-گرمی-آنچ-خوشبو-مہک۔
لت|عادت-چسکا۔
لتپت|نتھڑا ہوا۔
لٹیرا|رہزن-چور-بٹمار۔
لٹریری|علم ادب۔
لجا|شرم-حیا۔
لجاو|شرمیلا۔
لچا|بدمعاش-اوباش۔
لچک|جھکاو-نزاکت سے حرکات۔
لحاظ|حیا-خیال-توجہ۔
لحیم|موٹا۔
لخت|ٹکڑا-پارہ۔
لڈو|مٹھائ کا نام۔
لذت|مزا-ذائقہ۔
لذیذ|مزیدار۔
لرزش|کپکپی۔
لڑائ|جنگ-جھگڑا-فساد۔
لزوم|لازم ہونا۔
لسان|زبان-بولی۔
لسی|دودھ اور پانی کا مرکب۔
لشکر|فوج۔
لطافت|نرمی-نزاکت-صفائ۔
لطیفہ|چٹکلا۔
لعنت|پھٹکار۔
لعاب|تھوک-رال۔
لغت|فرہنگ-ڈکشنری-بولی۔
لغز|پہیلی۔
لفظ|کامہ-شبد۔
لفافہ|کاغذ کا تھیلا جس میں خط وغیرہ بند کیا جاتا ہے۔
لقب|وہ نام جو کسی وصف کے سبب مشہور ہوجاۓ۔
لقمہ|نوالہ۔
لکچر|تقریر۔
لکڑی|چوب-سونٹا-چھڑی۔
لکیر|لائن-حد-سطر۔
لگ|قریب-آسپاس۔
لگاو|تعلق-محبت۔
لگاتار|متواتر۔
لگی|خواہش-آرزو-محبت۔
للو|زبان-بولچال۔
لمبا|طویل-دراز-بڑا۔
لمع|روشنی-چمک۔
لنک|پابند-ڈھیڑ۔
لو|گرم ہوا۔
لواحق|رشتہدار۔
لہو|خون۔
لیبل|چٹ۔
مات|شکست-ہار۔
مال|دولت۔
مبارک|برکت والا-خوش قسمت۔
مباحات|فخر-بڑائ-شانوشوکت۔
مپان|مقدار-پیمانہ۔
متعدد|بیشمار-بہت-کئ۔
متین|پکا-سنجیدہ-وزنی۔
مٹاپا|جسم کا موٹا ہونا۔
مٹھاس|شیرینی-میٹھاپن۔
مثال|نظیر-مانند-تمثیل-نمونہ۔
مثبت|ثابت کیا ہوا۔
مجال|طاقت-قدرت-قابو۔
مجبور|لاچار-بےبس۔
مچلنا|رونا-ضد کرنا-اڑی کرنا۔
محاصل|آمدنی-فائدہ-نفع۔
محبت|اخلاص-پیار۔
مخاطب|خطاب کرنے والا-کلام کرنے والا۔
مختلف|جدا-الگ۔
مدت|عرصہ-زمانہ۔
مدد|سہارا۔
مڈل|درمیانہ۔
مذہب|دین-طریقہ-راہ۔
مرض|بیماری۔
مرگ|موت۔مزا|ذائقہ-لذت۔
مزاج|طبیعت-عادت۔
مژدہ|خوشخبری۔
مژہ|پلک۔
مسافر|فر کرنے والا۔
مسکن|رہنے کی جگہ-گھر-مکان۔مشغلہ|کام-تفریح-کھیل۔
مشققت|محنت۔
مصنف|تصنیف کرنے والا۔
مصیبت|تکلیف-دکھ۔
مضبوط|سخت-پکا۔
مضمون|مطلوب-بیان۔	
مطالبہ|تقاضا کرنا-مانگنا۔
مطمین|تسلی والا-بےفکر۔
مظالم|بےانصافیاں۔
مظفر|کامیاب-فتحمند۔
معافی|بخشش۔
معروف|مشہور۔
مغرور|گھمنڈی-متکبر۔
مفاد|فائدہ۔
مقام|ٹھہرنے کی جگہ۔
مکمل|پورا-کامل۔
ملال|رنجیدگی-اداسی۔
ممنون|احسانمند۔
منصوبہ|ارادہ-قصد۔
موجب|سبب-باعث-وجہ۔
مہاجر|ہجرت کرنے والا۔
میانہ|درمیانہ۔
میوہ|پھا-ثمر-بار۔
نام|اسم-شہورت۔
نامور|مشہور۔
نبی|پیغمبر-رسول۔
نثار|قربان-نچھاور۔
نجات|رہائ-چھٹکارا۔
ندامت|شرمندگی۔
ندی|نہر-دریا-نالہ۔
نڈر|بےخوف۔
نرالا|انوکھا-عجب-اچھاکام۔
نرم|ملائم۔
نزاکت|نازکپن۔
نزدیک|قریب۔
نس|رگ۔
نسبت|تعلق-مشابہت۔
نسل|خاندان-اولاد۔
نشونما|بڑھنا-ترقی پانا۔
نصر|قتح-مدد۔
نصف|آدھا۔
نصیب|قسمت۔
نضارت|تازگی۔
نظارہ|دیکھنا-سیر کرنا۔
نظر|نگاہ-دید۔
نعرہ|آواز-شہرت۔
نعمت|برکت-عمدہ۔
نعوذ|پناہ۔
نعیم|خوشی-نفع-نعمت۔
نغمہ|راگ-سرود۔
نغز|عجیب-خوبصورت-عودہ۔
نفرت|گھن-حقارت-کراہت۔
نفع|فائدہ۔
نفیس|صاف۔
نقاب|گھونگٹ-پردہ۔
نقش|چھاپ۔
نقصان|ٹوٹا-خسارہ۔
نکاح|شادی۔
نگہت|خوشبو-مہک۔
نگاہ|نظر-دیدد-مشاہدہ۔
نگہبان|محافظ-نگراں۔
نم|تر-گیلا-بھیگا۔
نماز|عاجزی-مسلمانوں کی عبادت۔
نمایاں|ظاہر-آشکار۔
نمبر|گنتی-تعداد۔
نور|روشنی-چمک۔
نوع|قسم-طرح۔
نوکر|ملازم۔
نہار|صبح۔
نہال|خوشوخرم۔
نہایت|آخر-انجام-بہت۔
نیت|ارادہ۔
نیشن|قوم۔
نیک|اچھا-بھلا۔
واجب|ضروری-لازم-فرض۔
واٹر|پانی۔
وبال|سختی-مصیبت-بوجھ۔
وثوق|استواری-اعتماد-استقلال۔
وجاہت|عزت۔
وجہ|سبب۔
وچار|سوچ-خیال۔
وحدت|تنہائ-اکیلا ہونا۔
وحشت|خوف-نفرت۔
وداع|رخصت۔
ودیا|علم۔
ورثہ|مرنے والے کا مال۔
ورم|سوجن۔
وزن|تول-بوجھ-اندازہ۔
وزر|گناہ-جرم-بوجھ۔
وسط|بیچ-درمیان۔
وسیلہ|ذریعہ۔
وشواس|یقین۔
وصف|تعریف-بیان۔
وصول|پہنچنا-ملنا-حاصل۔
وضاحت|واضح کرنا۔
وظیفہ|ہر روز کا ورد-تنخواہ۔
وعدہ|قول-قرار-عہد۔
وغا|لڑائ-جنگ۔
وفات|موت-مر جانا۔
وفا-اعتبار۔
وقار|عزت۔
وقفہ|ٹھراو-رکنا-کچھ دیر۔
وکیل|نائب-وکالت کرنے والا۔
ولادت|پیدائش۔
ولد|باپ۔
ون|رہنے کی جگہ-چشمہ-جنگل۔
ووٹ|راۓ۔وہاں|اس جگہ۔
وہم|گمان-خیال۔
ویر|بیر-دشمنی۔
ویران|اجاڑہ-تباہ-خراب۔
ویلکم|خوشآمدید۔
ویل|سمندر کی ایک بڑی مچھلی۔
ولی|خدا کا خاص بندہ-دوست۔
وقائع|حادثے-واقعات۔
وقت|سماں-موقہ-زمانہ۔
وقر|مرتبہ-عزت۔
وشال|وسیع۔
وساطت|وسیلہ-ذریعہ۔
وزنی|بھاری۔
وردھ|مخالفت-مقابلہ۔
ورن|جماعت-شکل-ذات۔
وجع|درد۔
واقفیت|علمیت-تجربہ-علم۔
والدین|ماں باپ۔
واسطہ|تعلق۔
ہاٹ|بازار-دوکان۔
ہار|شکست-تھکاوٹ۔
ہال|بڑا کمرہ۔
ہبڑا|بدشکل-بھدا۔
ہبہ|بخشش۔
ہت|دوستی-محبت۔
ہتھیار|آلہ-اوزار۔
ہٹی|دوکان۔
ہٹانا|دور کرنا۔
ہجرت|جدائ-علیحدگی۔
ہجوم|جماعت-بھیڑ۔
ہچکا|دھکا۔
ہدایت|رہنمائ-رہبری-حکم-ارشاد۔
ہدف|نشانہ۔
ہدیہ|انعام-تحفہ۔
ہذیان|بکواس-فضول گفتگو۔
ہربار|ہردفعہ۔
ہراس|خوف-در۔
ہردم|ہروقت۔
ہرگز|بالکل۔
ہڑبڑی|گھبراہٹ۔
ہزال|مسخرا۔
ہزل|بےہودہ۔
ہستی|زندگی-موجودگی۔
ہسکا|نقل-رشک۔
ہکابکا|حیران۔
ہکلا|جو رک رک کر بات کرتا ہے۔
ہکلانا|رک رک کر بوانا۔
ہلا|شوروغل۔
ہلاک|مارنا-قتل۔
ہلکا|کم وزن۔
ہمدم|گہرا دوست۔
ہمت|دلیری۔
ہمدردی|درد میں شریک ہونا-غمخواری۔
ہمسایہ|پڑوسی۔
ہموار|برابر-یکساں-ایک جیسا۔
ہمہ|تمام-سب۔
ہمیشہ|سدا۔
ہنر|جوہر-لیاقت-فن۔
ہنگامہ|شوروغل-لڑائ۔
ہوٹل|کھانا کھانے کی جگہ۔
ہوس|خواہش-لالچ۔
ہوش|سمجھ-عقل۔
ہوم|گھر۔
ہونٹ|لب۔
ہونہار|لائق-مشہور۔
ہامی|یقین-صدقہ-ذمہ۔
ہست|وجود۔
ہامون|جنگل-بیابان۔
